from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
55665,55665,2024-04-25_36102-3_0,2024-04-25_36102-3_1,1
55665,55665,2024-04-25_36106-7_0,2024-04-25_36106-7_1,1
55665,55665,2024-04-25_5600-1_0,2024-04-25_5600-1_1,1
55665,55665,2024-04-25_60105_0,2024-04-25_60105_1,1
65300,65300,2024-04-26_13104-5_0,2024-04-26_13104-5_1,1
65300,65300,2024-04-26_13106-7_0,2024-04-26_13106-7_1,1
55665,55665,2024-04-26_16100-1_0,2024-04-26_16100-1_1,1
55665,55665,2024-04-26_16170-1_0,2024-04-26_16170-1_1,1
49205,49205,2024-04-26_31104-5_0,2024-04-26_31104-5_1,1
49205,49205,2024-04-26_31106-7_0,2024-04-26_31106-7_1,1
55665,55665,2024-04-26_36102-3_0,2024-04-26_36102-3_1,1
55665,55665,2024-04-26_36106-7_0,2024-04-26_36106-7_1,1
55665,55665,2024-04-26_5600-1_0,2024-04-26_5600-1_1,1
55665,55665,2024-04-26_60105_0,2024-04-26_60105_1,1
65300,65300,2024-04-27_13104-5_0,2024-04-27_13104-5_1,1
65300,65300,2024-04-27_13106-7_0,2024-04-27_13106-7_1,1
55665,55665,2024-04-27_16100-1_0,2024-04-27_16100-1_1,1
55665,55665,2024-04-27_16170-1_0,2024-04-27_16170-1_1,1
55665,55665,2024-04-27_1650-1_0,2024-04-27_1650-1_1,1
49205,49205,2024-04-27_31104-5_0,2024-04-27_31104-5_1,1
49205,49205,2024-04-27_31106-7_0,2024-04-27_31106-7_1,1
55665,55665,2024-04-27_36102-3_0,2024-04-27_36102-3_1,1
55665,55665,2024-04-27_36106-7_0,2024-04-27_36106-7_1,1
55665,55665,2024-04-27_60105_0,2024-04-27_60105_1,1
55665,55665,2024-04-27_6150-1_0,2024-04-27_6150-1_1,1
65300,65300,2024-04-28_13104-5_0,2024-04-28_13104-5_1,1
65300,65300,2024-04-28_13106-7_0,2024-04-28_13106-7_1,1
55665,55665,2024-04-28_16100-1_0,2024-04-28_16100-1_1,1
55665,55665,2024-04-28_16170-1_0,2024-04-28_16170-1_1,1
55665,55665,2024-04-28_1650-1_0,2024-04-28_1650-1_1,1
49205,49205,2024-04-28_31104-5_0,2024-04-28_31104-5_1,1
49205,49205,2024-04-28_31106-7_0,2024-04-28_31106-7_1,1
55665,55665,2024-04-28_36102-3_0,2024-04-28_36102-3_1,1
55665,55665,2024-04-28_36106-7_0,2024-04-28_36106-7_1,1
55665,55665,2024-04-28_60105_0,2024-04-28_60105_1,1
55665,55665,2024-04-28_6150-1_0,2024-04-28_6150-1_1,1
65300,65300,2024-04-29_13104-5_0,2024-04-29_13104-5_1,1
65300,65300,2024-04-29_13106-7_0,2024-04-29_13106-7_1,1
55665,55665,2024-04-29_16100-1_0,2024-04-29_16100-1_1,1
55665,55665,2024-04-29_16170-1_0,2024-04-29_16170-1_1,1
49205,49205,2024-04-29_31104-5_0,2024-04-29_31104-5_1,1
49205,49205,2024-04-29_31106-7_0,2024-04-29_31106-7_1,1
55665,55665,2024-04-29_36102-3_0,2024-04-29_36102-3_1,1
55665,55665,2024-04-29_36106-7_0,2024-04-29_36106-7_1,1
55665,55665,2024-04-29_5600-1_0,2024-04-29_5600-1_1,1
55665,55665,2024-04-29_60105_0,2024-04-29_60105_1,1
65300,65300,2024-04-30_13104-5_0,2024-04-30_13104-5_1,1
65300,65300,2024-04-30_13106-7_0,2024-04-30_13106-7_1,1
55665,55665,2024-04-30_16100-1_0,2024-04-30_16100-1_1,1
55665,55665,2024-04-30_16170-1_0,2024-04-30_16170-1_1,1
49205,49205,2024-04-30_31104-5_0,2024-04-30_31104-5_1,1
49205,49205,2024-04-30_31106-7_0,2024-04-30_31106-7_1,1
55665,55665,2024-04-30_36102-3_0,2024-04-30_36102-3_1,1
55665,55665,2024-04-30_36106-7_0,2024-04-30_36106-7_1,1
55665,55665,2024-04-30_5600-1_0,2024-04-30_5600-1_1,1
55665,55665,2024-04-30_60105_0,2024-04-30_60105_1,1
65300,65300,2024-05-01_13104-5_0,2024-05-01_13104-5_1,1
65300,65300,2024-05-01_13106-7_0,2024-05-01_13106-7_1,1
55665,55665,2024-05-01_16100-1_0,2024-05-01_16100-1_1,1
55665,55665,2024-05-01_16170-1_0,2024-05-01_16170-1_1,1
55665,55665,2024-05-01_1650-1_0,2024-05-01_1650-1_1,1
49205,49205,2024-05-01_31104-5_0,2024-05-01_31104-5_1,1
49205,49205,2024-05-01_31106-7_0,2024-05-01_31106-7_1,1
55665,55665,2024-05-01_36102-3_0,2024-05-01_36102-3_1,1
55665,55665,2024-05-01_36106-7_0,2024-05-01_36106-7_1,1
55665,55665,2024-05-01_60105_0,2024-05-01_60105_1,1
55665,55665,2024-05-01_6150-1_0,2024-05-01_6150-1_1,1
65300,65300,2024-05-02_13104-5_0,2024-05-02_13104-5_1,1
65300,65300,2024-05-02_13106-7_0,2024-05-02_13106-7_1,1
55665,55665,2024-05-02_16100-1_0,2024-05-02_16100-1_1,1
55665,55665,2024-05-02_16170-1_0,2024-05-02_16170-1_1,1
49205,49205,2024-05-02_31104-5_0,2024-05-02_31104-5_1,1
49205,49205,2024-05-02_31106-7_0,2024-05-02_31106-7_1,1
55665,55665,2024-05-02_36102-3_0,2024-05-02_36102-3_1,1
55665,55665,2024-05-02_36106-7_0,2024-05-02_36106-7_1,1
55665,55665,2024-05-02_5600-1_0,2024-05-02_5600-1_1,1
55665,55665,2024-05-02_60105_0,2024-05-02_60105_1,1
65300,65300,2024-05-03_13104-5_0,2024-05-03_13104-5_1,1
65300,65300,2024-05-03_13106-7_0,2024-05-03_13106-7_1,1
55665,55665,2024-05-03_16100-1_0,2024-05-03_16100-1_1,1
55665,55665,2024-05-03_16170-1_0,2024-05-03_16170-1_1,1
55665,55665,2024-05-03_1650-1_0,2024-05-03_1650-1_1,1
49205,49205,2024-05-03_31104-5_0,2024-05-03_31104-5_1,1
49205,49205,2024-05-03_31106-7_0,2024-05-03_31106-7_1,1
55665,55665,2024-05-03_36102-3_0,2024-05-03_36102-3_1,1
